Primary-general indicator,Candidate ID,Chamber Endorsed?,Main Street Endorsed?,Tea Party Endorsed?,House Freedom Support?,Koch Support?,Club for Growth Endorsed?,Susan B. Anthony Endorsed?,Right to Life Endorsed?,NRA Endorsed?,Great America Endorsed?,Bannon Endorsed?,Trump Endorsed?,Rep Party Support?,No Labels Support?,VoteVets Endorsed?,WFP Endorsed?,Indivisible Endorsed?,PCCC Endorsed?,Justice Dems Endorsed?,Our Revolution Endorsed?,Sanders Endorsed?,Warren Endorsed? ,Biden Endorsed?,Guns Sense Candidate?,Emily Endorsed?,Party Support?,Obama Alum?,STEM?,Self-Funder?,Elected Official?,LGBTQ?,Veteran?,Race,Won Primary,Primary %,Partisan Lean,General Status,Primary Runoff Status,Primary Status,Race Primary Election Date,Race Type,Office Type,District,State,Largest Donation Size
P2018,H8MS03133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.16,0.0,0,0,0,6/5/18,Regular,Representative,U.S. House Mississippi District 3,MS,5000
P2018,S8MT00218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.12,0.0,0,0,0,6/5/18,Regular,Senator,U.S. Senate Montana,MT,5000
P2018,H8CA08112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,White,0,59.610001,-17.33,0,0,0,6/5/18,Regular,Representative,U.S. House California District 8,CA,2700
P2018,H6MI07223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,White,1,85.199997,-16.059998999999998,On the Ballot,0,1,8/7/18,Regular,Representative,U.S. House Michigan District 7,MI,5000
P2018,H8NE02220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,51.639999,-5.98,On the Ballot,0,1,5/15/18,Regular,Representative,U.S. House Nebraska District 2,NE,1100
P2018,H8NH01152,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,48.0,0.0,On the Ballot,0,1,9/11/18,Regular,Representative,U.S. House New Hampshire District 1,NH,9200
P2018,H8PA15187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Nonwhite,0,25.43,0.07,0,0,0,5/15/18,Regular,Representative,U.S. House Pennsylvania District 7,PA,19450
P2018,H8TN02200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3,0.0,0,0,0,8/2/18,Regular,Representative,U.S. House Tennessee District 2,TN,5000
P2018,H8TX16109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,Nonwhite,1,61.529999,35.419998,On the Ballot,0,1,3/6/18,Regular,Representative,U.S. House Texas District 16,TX,230000
P2018,H6OH02292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,34.400002,-17.360001,0,0,0,5/8/18,Regular,Representative,U.S. House Ohio District 2,OH,500
